time_stamp	x	y
1660822274.693136	1492	440
1660822274.6932619	1492	440
1660822274.6933825	1492	440
1660822274.6934795	1492	440
1660822274.6935616	1492	440
1660822274.6936235	1492	440
1660822274.69369	1492	440
1660822274.6937535	1492	440
1660822274.6938038	1492	440
1660822274.6938534	1492	440
1660822274.6939034	1492	440
1660822274.6939533	1492	440
1660822274.6940072	1492	440
1660822274.6942701	1487	444
1660822274.6943936	1487	444
1660822274.694484	1487	444
1660822274.6945717	1487	444
1660822274.6946576	1487	444
1660822274.6947324	1487	444
1660822274.6947942	1487	444
1660822274.6948729	1487	444
1660822274.6949544	1487	444
1660822274.6950302	1487	444
1660822274.695093	1487	444
1660822274.6951525	1487	444
1660822274.6952105	1487	444
1660822274.6952684	1487	444
1660822274.6953225	1487	444
1660822274.695372	1487	444
1660822274.695421	1487	444
1660822274.69547	1487	444
1660822274.6955197	1487	444
1660822274.6955695	1487	444
1660822274.6956258	1487	444
1660822274.6956713	1487	444
1660822274.6957166	1487	444
1660822274.6957839	1487	444
1660822274.6958292	1487	444
1660822274.6958737	1487	444
1660822274.695929	1487	444
1660822274.6959767	1487	444
1660822274.6961298	1487	444
1660822274.6961875	1487	444
1660822274.6962435	1487	444
1660822274.6963005	1487	444
1660822274.6963575	1487	444
1660822274.6964135	1487	444
1660822274.696468	1487	444
1660822274.6965227	1487	444
1660822274.6965783	1487	444
1660822274.6966329	1487	444
1660822274.6966882	1487	444
1660822274.696741	1487	444
1660822274.6967943	1487	444
1660822274.6968913	1487	444
1660822274.696976	1487	444
1660822274.697044	1487	444
1660822274.6971073	1487	444
1660822274.697167	1487	444
1660822274.6972263	1487	444
1660822274.697285	1487	444
1660822274.697344	1487	444
1660822274.6974018	1487	444
1660822274.69746	1487	444
1660822274.697517	1487	444
1660822274.6975753	1487	444
1660822274.6976335	1487	444
1660822274.697717	1487	444
1660822274.6977797	1487	444
1660822274.697867	1487	444
1660822274.697949	1487	444
1660822274.6980264	1487	444
1660822274.6981025	1487	444
1660822274.6981785	1487	444
1660822274.6982298	1487	444
1660822274.69828	1487	444
1660822274.6983294	1487	444
1660822274.6983788	1487	444
1660822274.698435	1487	444
1660822274.6984851	1487	444
1660822274.6985347	1487	444
1660822274.6985838	1487	444
1660822274.698633	1487	444
1660822274.6986814	1487	444
1660822274.6987302	1487	444
1660822274.6987796	1487	444
1660822274.6988282	1487	444
1660822274.6988769	1487	444
1660822274.698926	1487	444
1660822274.6989744	1487	444
1660822274.6990228	1487	444
1660822274.699073	1487	444
1660822274.6991215	1487	444
1660822274.69917	1487	444
1660822274.6992185	1487	444
1660822274.6992667	1487	444
1660822274.6993144	1487	444
1660822274.6993625	1487	444
1660822274.699422	1487	444
1660822274.6994805	1487	444
1660822274.6995404	1487	444
1660822274.6995988	1487	444
1660822274.699657	1487	444
1660822274.6997151	1487	444
1660822274.6997738	1487	444
1660822274.6998332	1487	444
1660822274.699891	1487	444
1660822274.69995	1487	444
1660822274.7000096	1487	444
1660822274.7000697	1487	444
1660822274.700128	1487	444
1660822274.7001867	1487	444
1660822274.7002466	1487	444
1660822274.7003052	1487	444
1660822274.7003632	1487	444
1660822274.7004275	1487	444
1660822274.7004764	1487	444
1660822274.7005253	1487	444
1660822274.7005749	1487	444
1660822274.7006245	1487	444
1660822274.7006736	1487	444
1660822274.7007225	1487	444
1660822274.7007713	1487	444
1660822274.7008297	1487	444
1660822274.7009249	1487	444
1660822274.7010005	1487	444
1660822274.7010758	1487	444
1660822274.7011507	1487	444
1660822274.7012255	1487	444
1660822274.7013025	1487	444
1660822274.7013776	1487	444
1660822274.701453	1487	444
1660822274.7015283	1487	444
1660822274.7016034	1487	444
1660822274.701678	1487	444
1660822274.701753	1487	444
1660822274.7018282	1487	444
1660822274.7019038	1487	444
1660822274.70198	1487	444
1660822274.7020557	1487	444
1660822274.702131	1487	444
1660822274.7022202	1484	447
1660822274.7023096	1484	447
1660822274.702411	1484	447
1660822274.7024891	1484	447
1660822274.702565	1484	447
1660822274.7026412	1484	447
1660822274.7027166	1484	447
1660822274.7027931	1484	447
1660822274.7028694	1484	447
1660822274.7029455	1484	447
1660822274.7030206	1484	447
